,lefteye_x,lefteye_y,righteye_x,righteye_y,nose_x,nose_y,leftmouth_x,leftmouth_y,rightmouth_x,rightmouth_y
000012.jpg,92.44444,97.77778,161.77779,108.44444,120.88889,145.77779,81.77778,165.33333,151.11111,179.55556
000019.jpg,83.27711,106.40964,165.01204,106.40964,124.91566,152.6747,94.07229,188.14458,157.3012,186.6024
000053.jpg,95.150444,124.60177,165.38052,99.68141,149.52213,158.58408,124.60177,199.36282,181.23894,178.97345
000055.jpg,87.95092,109.938644,163.33742,107.58282,121.71779,151.55827,97.37423,186.8957,157.84048,188.46625
000056.jpg,99.042625,94.8459,180.45901,109.9541,150.24263,152.76065,94.00656,185.49509,155.27869,195.56721
000085.jpg,81.482185,114.92637,152.01901,103.981,120.399055,158.70784,100.94062,183.03088,162.96437,174.51782
000123.jpg,80.792206,116.36364,153.93506,104.72727,115.7013,157.92207,97.41558,197.81818,160.58441,189.5065
000147.jpg,95.82123,104.40223,169.8324,110.1229,131.57541,148.37988,101.18436,180.20111,153.38547,185.56424
000175.jpg,78.42162,116.92973,137.92432,123.84865,95.02703,166.05406,76.34595,173.66487,135.84865,184.04324
000195.jpg,114.4,96.8,188.0,107.200005,159.2,145.6,101.6,173.6,172.0,188.0
000203.jpg,101.333336,105.77778,171.55556,106.666664,140.44444,150.22223,102.22222,184.0,163.55556,185.77779
000212.jpg,92.852455,104.39344,166.81966,102.295074,131.67212,149.5082,99.67213,188.32787,157.90163,188.32787
000255.jpg,90.16352,103.84905,171.4717,97.4088,136.05031,150.54088,103.84905,186.76729,165.03145,185.96227
000298.jpg,88.88889,107.666664,163.55556,97.0,135.11111,152.11111,94.22222,175.22223,177.77779,161.0
000304.jpg,105.04559,98.04256,178.18845,113.604866,141.61702,153.28876,97.26444,186.74773,156.40121,192.97264
000319.jpg,124.745766,103.05085,176.81355,106.305084,170.30508,148.61017,131.25424,185.49153,172.47458,183.32204
000409.jpg,71.32338,95.522385,137.55223,94.24876,84.0597,138.82587,76.41791,182.12935,131.18408,182.12935
000413.jpg,115.478264,107.82609,180.86957,94.608696,171.8261,148.86957,109.91305,180.17392,196.17392,158.6087
000417.jpg,151.4793,104.00592,171.1716,104.00592,181.77515,146.42012,134.81657,181.26036,151.4793,181.26036
000434.jpg,93.14286,101.14286,173.7143,115.42857,129.14287,161.14287,84.571434,186.28572,151.42857,196.00002
000472.jpg,91.73418,106.936714,167.88608,113.417725,122.51899,150.68355,88.493675,174.98735,158.16457,181.46835
000496.jpg,80.12214,101.618324,158.29007,99.66412,119.20611,152.42747,82.07634,173.92366,164.15268,171.96947
000509.jpg,79.175255,113.484535,145.15463,92.37113,110.84536,163.62886,97.64948,176.82474,174.18556,158.35051
000516.jpg,91.70149,110.80597,166.20895,103.16418,132.77612,147.10448,105.07462,183.40298,164.29851,182.44775
000526.jpg,137.17406,102.22525,192.21843,110.962456,170.37543,151.15358,123.194534,179.11263,174.74402,189.59726
000537.jpg,97.391304,101.565216,172.52174,94.608696,137.73914,137.73914,102.95652,185.04349,172.52174,180.86957
000586.jpg,102.5784,118.63415,173.93729,103.47038,147.1777,155.20558,112.39024,185.5331,185.5331,169.47736
000633.jpg,93.89961,110.7027,163.0888,101.806946,135.41313,142.33205,98.8417,178.90347,174.9498,167.04247
000644.jpg,123.870964,102.4,191.5871,118.91613,163.50967,160.20645,115.6129,186.63225,158.55484,193.23871
000658.jpg,81.26984,108.35979,163.89418,92.10582,143.57672,128.67725,116.48677,185.56613,167.95767,173.37566
000660.jpg,96.52458,107.01639,167.86884,104.91803,132.19672,142.68852,94.42622,169.96721,169.96721,169.96721
